ETF,rank,peak_date,trough_date,peak_price,trough_price,depth_pct
ARKK,1,2025-02-14,2025-04-08,67.02,40.51,-39.56
ARKK,2,2024-07-16,2024-08-07,49.4,39.47,-20.1
ARKK,3,2024-04-01,2024-04-19,49.24,42.0,-14.7
ARKK,4,2025-10-08,2025-11-07,92.53,80.75,-12.73
ARKK,5,2024-12-17,2025-01-14,62.98,56.41,-10.43
ARKK,6,2024-08-23,2024-09-06,46.24,41.59,-10.06
ARKK,7,2024-05-06,2024-05-31,46.5,42.45,-8.71
ARKK,8,2025-07-18,2025-08-01,77.63,71.16,-8.33
ARKK,9,2024-11-11,2024-11-15,57.85,53.46,-7.59
ARKK,10,2025-05-02,2025-05-06,51.9,48.78,-6.01
ARKK,Current,2025-10-08,2025-11-07,92.53,80.75,-12.73
